Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberry Pi,Kyber-768,PQC,Encapsulation,29,0.000109,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,29,0.000097,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,29,0.051573,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,29,0.002767,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,29,0.042725,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,29,0.181516,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,29,0.000301,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,29,0.066874,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,30,0.005422,6392,100%
Raspberry Pi,Kyber-768,PQC,Encapsulation,30,0.000117,6392,100%
Raspberry Pi,Kyber-768,PQC,Decapsulation,30,0.000089,6392,100%
Raspberry Pi,BIKE-L1,PQC,KeyGen,30,0.051536,6392,100%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,30,0.002765,6392,100%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,30,0.042467,6392,100%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,30,0.181937,6392,100%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,30,0.000329,6392,100%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,30,0.066612,6392,100%
Raspberry Pi,Kyber-768,PQC,KeyGen,31,0.005354,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,31,0.000110,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,31,0.000089,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,31,0.051420,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,31,0.002765,6392,99%
Raspberry Pi,BIKE-L1,PQC,Decapsulation,31,0.042054,6392,99%
Raspberry Pi,Classic-McEliece,PQC,KeyGen,31,1.062426,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Encapsulation,31,0.000319,6392,99%
Raspberry Pi,Classic-McEliece,PQC,Decapsulation,31,0.066484,6392,99%
Raspberry Pi,Kyber-768,PQC,KeyGen,32,0.005424,6392,99%
Raspberry Pi,Kyber-768,PQC,Encapsulation,32,0.000117,6392,99%
Raspberry Pi,Kyber-768,PQC,Decapsulation,32,0.000088,6392,99%
Raspberry Pi,BIKE-L1,PQC,KeyGen,32,0.051537,6392,99%
Raspberry Pi,BIKE-L1,PQC,Encapsulation,32,0.002752,6392,99%
