Device,Algorithm,Type,Operation,Iteration,Time,MemoryKB,CPU
Raspberri Pi,Falcon-512,PQC,Verify,22,0.000114,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,22,0.002771,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,22,0.064011,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,22,0.003883,5880,99%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,23,0.005542,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,23,0.000689,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,23,0.000166,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,23,0.025560,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,23,0.000877,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,23,0.000115,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,23,0.002741,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,23,0.063831,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,23,0.003817,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,24,0.005497,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,24,0.001909,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,24,0.000237,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,24,0.022576,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,24,0.000872,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,24,0.000115,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,24,0.002756,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,24,0.063820,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,24,0.003880,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,25,0.005583,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,25,0.000272,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,25,0.000166,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,25,0.026868,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,25,0.000866,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,25,0.000114,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,25,0.002760,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,25,0.063870,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,25,0.003866,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,26,0.005509,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Sign,26,0.000278,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Verify,26,0.000169,5880,99%
Raspberri Pi,Falcon-512,PQC,KeyGen,26,0.033083,5880,99%
Raspberri Pi,Falcon-512,PQC,Sign,26,0.000899,5880,99%
Raspberri Pi,Falcon-512,PQC,Verify,26,0.000115,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,26,0.002742,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,26,0.063829,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,26,0.003699,5880,99%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,27,0.005532,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Sign,27,0.000543,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Verify,27,0.000167,5880,99%
Raspberri Pi,Falcon-512,PQC,KeyGen,27,0.020832,5880,99%
Raspberri Pi,Falcon-512,PQC,Sign,27,0.000938,5880,99%
Raspberri Pi,Falcon-512,PQC,Verify,27,0.000117,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,27,0.002811,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,27,0.064018,5880,99%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,27,0.003889,5880,99%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,28,0.005603,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,28,0.000530,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,28,0.000166,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,28,0.029607,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,28,0.000898,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,28,0.000115,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,28,0.002787,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,28,0.063836,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,28,0.003811,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,29,0.005521,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Sign,29,0.000408,5880,100%
Raspberri Pi,ML-DSA-44,PQC,Verify,29,0.000166,5880,100%
Raspberri Pi,Falcon-512,PQC,KeyGen,29,0.018130,5880,100%
Raspberri Pi,Falcon-512,PQC,Sign,29,0.000861,5880,100%
Raspberri Pi,Falcon-512,PQC,Verify,29,0.000114,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,KeyGen,29,0.002810,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Sign,29,0.063925,5880,100%
Raspberri Pi,SLH-DSA-128f,PQC,Verify,29,0.003735,5880,100%
Raspberri Pi,ML-DSA-44,PQC,KeyGen,30,0.005561,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Sign,30,0.000410,5880,99%
Raspberri Pi,ML-DSA-44,PQC,Verify,30,0.000169,5880,99%
Raspberri Pi,Falcon-512,PQC,KeyGen,30,0.021133,5880,99%
Raspberri Pi,Falcon-512,PQC,Sign,30,0.001021,5880,99%
Raspberri Pi,Falcon-512,PQC,Verify,30,0.000118,5880,99%
