Device,Algorithm,Type,Operation,Iteration,Time
Laptop,ECDSA,Classical,Verify,68,0.000004
Laptop,ECDH,Classical,KeyGen,69,0.000473
Laptop,ECDH,Classical,SharedSecret,69,0.000048
Laptop,ECDSA,Classical,Sign,69,0.000102
Laptop,ECDSA,Classical,Verify,69,0.000004
Laptop,ECDH,Classical,KeyGen,70,0.000573
Laptop,ECDH,Classical,SharedSecret,70,0.000046
Laptop,ECDSA,Classical,Sign,70,0.000102
Laptop,ECDSA,Classical,Verify,70,0.000004
Laptop,ECDH,Classical,KeyGen,71,0.000478
Laptop,ECDH,Classical,SharedSecret,71,0.000049
Laptop,ECDSA,Classical,Sign,71,0.000104
Laptop,ECDSA,Classical,Verify,71,0.000004
Laptop,ECDH,Classical,KeyGen,72,0.000477
Laptop,ECDH,Classical,SharedSecret,72,0.000048
Laptop,ECDSA,Classical,Sign,72,0.000100
Laptop,ECDSA,Classical,Verify,72,0.000004
Laptop,ECDH,Classical,KeyGen,73,0.000473
Laptop,ECDH,Classical,SharedSecret,73,0.000045
Laptop,ECDSA,Classical,Sign,73,0.000100
Laptop,ECDSA,Classical,Verify,73,0.000004
Laptop,ECDH,Classical,KeyGen,74,0.000562
Laptop,ECDH,Classical,SharedSecret,74,0.000049
Laptop,ECDSA,Classical,Sign,74,0.000105
Laptop,ECDSA,Classical,Verify,74,0.000004
Laptop,ECDH,Classical,KeyGen,75,0.000457
Laptop,ECDH,Classical,SharedSecret,75,0.000048
Laptop,ECDSA,Classical,Sign,75,0.000101
Laptop,ECDSA,Classical,Verify,75,0.000004
Laptop,ECDH,Classical,KeyGen,76,0.000464
Laptop,ECDH,Classical,SharedSecret,76,0.000045
Laptop,ECDSA,Classical,Sign,76,0.000099
Laptop,ECDSA,Classical,Verify,76,0.000003
Laptop,ECDH,Classical,KeyGen,77,0.000524
Laptop,ECDH,Classical,SharedSecret,77,0.000049
Laptop,ECDSA,Classical,Sign,77,0.000105
Laptop,ECDSA,Classical,Verify,77,0.000004
Laptop,ECDH,Classical,KeyGen,78,0.000472
Laptop,ECDH,Classical,SharedSecret,78,0.000089
Laptop,ECDSA,Classical,Sign,78,0.000112
Laptop,ECDSA,Classical,Verify,78,0.000004
Laptop,ECDH,Classical,KeyGen,79,0.000468
Laptop,ECDH,Classical,SharedSecret,79,0.000049
Laptop,ECDSA,Classical,Sign,79,0.000105
Laptop,ECDSA,Classical,Verify,79,0.000003
Laptop,ECDH,Classical,KeyGen,80,0.000474
Laptop,ECDH,Classical,SharedSecret,80,0.000045
Laptop,ECDSA,Classical,Sign,80,0.000102
Laptop,ECDSA,Classical,Verify,80,0.000004
Laptop,ECDH,Classical,KeyGen,81,0.000496
Laptop,ECDH,Classical,SharedSecret,81,0.000049
Laptop,ECDSA,Classical,Sign,81,0.000106
Laptop,ECDSA,Classical,Verify,81,0.000004
Laptop,ECDH,Classical,KeyGen,82,0.000465
Laptop,ECDH,Classical,SharedSecret,82,0.000049
Laptop,ECDSA,Classical,Sign,82,0.000174
Laptop,ECDSA,Classical,Verify,82,0.000004
Laptop,ECDH,Classical,KeyGen,83,0.000477
Laptop,ECDH,Classical,SharedSecret,83,0.000049
Laptop,ECDSA,Classical,Sign,83,0.000100
Laptop,ECDSA,Classical,Verify,83,0.000004
Laptop,ECDH,Classical,KeyGen,84,0.000467
Laptop,ECDH,Classical,SharedSecret,84,0.000048
Laptop,ECDSA,Classical,Sign,84,0.000098
Laptop,ECDSA,Classical,Verify,84,0.000004
Laptop,ECDH,Classical,KeyGen,85,0.000537
Laptop,ECDH,Classical,SharedSecret,85,0.000049
Laptop,ECDSA,Classical,Sign,85,0.000102
Laptop,ECDSA,Classical,Verify,85,0.000004
Laptop,ECDH,Classical,KeyGen,86,0.000459
Laptop,ECDH,Classical,SharedSecret,86,0.000049
Laptop,ECDSA,Classical,Sign,86,0.000104
Laptop,ECDSA,Classical,Verify,86,0.000004
Laptop,ECDH,Classical,KeyGen,87,0.000469
Laptop,ECDH,Classical,SharedSecret,87,0.000045
Laptop,ECDSA,Classical,Sign,87,0.000101
Laptop,ECDSA,Classical,Verify,87,0.000004
Laptop,ECDH,Classical,KeyGen,88,0.000464
Laptop,ECDH,Classical,SharedSecret,88,0.000046
Laptop,ECDSA,Classical,Sign,88,0.000102
Laptop,ECDSA,Classical,Verify,88,0.000004
Laptop,ECDH,Classical,KeyGen,89,0.000470
Laptop,ECDH,Classical,SharedSecret,89,0.000045
Laptop,ECDSA,Classical,Sign,89,0.000100
Laptop,ECDSA,Classical,Verify,89,0.000004
Laptop,ECDH,Classical,KeyGen,90,0.000459
